epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,70.2437,1.92838,2.48652,1.62623,0.09404,0.82779,0.58992,0.26366,1.74186,3.08018,1.61398,0.000544981,0.000544981,0.000544981
2,157.189,1.76361,1.64859,1.5025,0.64198,0.38192,0.37601,0.16239,1.8719,1.96796,1.876,0.00108975,0.00108975,0.00108975
3,253.945,1.75835,1.50977,1.50455,0.59703,0.36707,0.35492,0.14846,1.96412,1.65939,1.95344,0.00162352,0.00162352,0.00162352
4,354.14,1.79516,1.40229,1.54596,0.5199,0.25831,0.23336,0.10125,1.87404,1.79947,1.85219,0.00161749,0.00161749,0.00161749
5,486.504,1.75446,1.27588,1.50864,0.51386,0.18682,0.15963,0.06812,2.01926,1.80806,1.92637,0.00160099,0.00160099,0.00160099
6,620.069,1.72508,1.2769,1.48942,0.54324,0.20242,0.18551,0.08178,1.98496,1.81867,1.93881,0.00158448,0.00158448,0.00158448
7,754.786,1.70898,1.20259,1.4898,0.49494,0.20695,0.17769,0.08198,1.9042,1.47924,1.83323,0.00156798,0.00156798,0.00156798
8,906.211,1.71731,1.22779,1.50001,0.57771,0.20695,0.19533,0.09176,1.88275,1.41159,1.85582,0.00155148,0.00155148,0.00155148
9,1054.87,1.69537,1.19428,1.47361,0.55955,0.17674,0.17256,0.08335,1.81525,1.35193,1.76744,0.00153497,0.00153497,0.00153497
10,1216.9,1.69461,1.15437,1.48482,0.46486,0.1614,0.14385,0.07215,1.83236,1.33715,1.81359,0.00151847,0.00151847,0.00151847
11,1372.21,1.68091,1.16758,1.46878,0.56092,0.18882,0.17426,0.08102,1.84967,1.37888,1.80443,0.00150197,0.00150197,0.00150197
12,1542.19,1.67022,1.15114,1.4632,0.54813,0.17591,0.16931,0.0801,1.90768,1.38005,1.89621,0.00148546,0.00148546,0.00148546
13,1717.79,1.65071,1.11422,1.46107,0.56417,0.21752,0.21171,0.10134,1.85436,1.23276,1.81818,0.00146896,0.00146896,0.00146896
14,1890.64,1.66505,1.1227,1.46739,0.59277,0.23716,0.23134,0.10681,1.85349,1.28779,1.85635,0.00145246,0.00145246,0.00145246
15,2063.73,1.66137,1.10708,1.45468,0.60334,0.20393,0.20285,0.08684,2.03193,1.3037,2.00071,0.00143595,0.00143595,0.00143595
16,2233.7,1.65821,1.13594,1.46519,0.65196,0.25982,0.24983,0.1116,1.82944,1.32395,1.83303,0.00141945,0.00141945,0.00141945
17,2385.46,1.63009,1.07733,1.44602,0.6165,0.26737,0.25245,0.11782,1.8307,1.27691,1.77891,0.00140295,0.00140295,0.00140295
18,2554.03,1.64265,1.09979,1.45495,0.70832,0.40352,0.41731,0.19032,1.98175,1.1613,1.91124,0.00138644,0.00138644,0.00138644
19,2725.44,1.62693,1.10036,1.43644,0.77343,0.47957,0.51265,0.25572,1.83112,1.13063,1.81581,0.00136994,0.00136994,0.00136994
20,2905.42,1.616,1.08355,1.45233,0.71991,0.56949,0.58119,0.27107,1.9123,1.32113,1.88761,0.00135344,0.00135344,0.00135344
21,3073.83,1.63314,1.07561,1.45217,0.64246,0.58157,0.56556,0.26729,1.81861,1.2703,1.77395,0.00133693,0.00133693,0.00133693
22,3227.17,1.61567,1.07108,1.4387,0.73146,0.59819,0.63204,0.29925,1.89026,1.22581,1.84249,0.00132043,0.00132043,0.00132043
23,3402.88,1.6126,1.07504,1.43979,0.69573,0.62387,0.63159,0.2925,1.91119,1.3324,1.88715,0.00130393,0.00130393,0.00130393
24,3582.73,1.59802,1.03035,1.4228,0.6901,0.70639,0.71453,0.31989,1.91764,1.16797,1.86629,0.00128742,0.00128742,0.00128742
25,3781.65,1.61189,1.05116,1.4303,0.73415,0.66326,0.71155,0.34828,1.80676,1.18066,1.77391,0.00127092,0.00127092,0.00127092
26,3947.41,1.59474,1.033,1.41545,0.74471,0.66314,0.7095,0.326,1.85641,1.17112,1.82762,0.00125442,0.00125442,0.00125442
27,4143.08,1.57827,1.06507,1.41917,0.72525,0.53776,0.56811,0.28115,1.81026,1.13798,1.80305,0.00123791,0.00123791,0.00123791
28,4319.81,1.576,1.05625,1.42072,0.74146,0.58912,0.61114,0.28518,1.87138,1.38617,1.85199,0.00122141,0.00122141,0.00122141
29,4495.93,1.59876,1.02834,1.41952,0.69781,0.69033,0.69416,0.3445,1.80561,1.23866,1.82416,0.00120491,0.00120491,0.00120491
30,4657.31,1.57565,1.03082,1.4212,0.69379,0.69033,0.71028,0.32363,1.90505,1.22468,1.86766,0.0011884,0.0011884,0.0011884
31,4842.58,1.57356,1.05186,1.41291,0.73285,0.67372,0.70154,0.35081,1.78213,1.11923,1.76396,0.0011719,0.0011719,0.0011719
32,5008.22,1.56953,1.03579,1.40906,0.74727,0.72356,0.74536,0.37119,1.78061,1.09883,1.78404,0.0011554,0.0011554,0.0011554
33,5180.18,1.55575,1.04169,1.41163,0.73341,0.69789,0.73247,0.35512,1.8374,1.13085,1.83093,0.00113889,0.00113889,0.00113889
34,5333.54,1.56702,1.02505,1.40427,0.71964,0.66163,0.70585,0.34271,1.8136,1.16118,1.81093,0.00112239,0.00112239,0.00112239
35,5499.48,1.58246,1.05471,1.4307,0.67482,0.71148,0.69181,0.35213,1.76961,1.19379,1.79015,0.00110589,0.00110589,0.00110589
36,5651.76,1.53476,1.00234,1.39685,0.74822,0.68731,0.73635,0.36318,1.78819,1.10745,1.79081,0.00108938,0.00108938,0.00108938
37,5791.94,1.54536,1.01475,1.39601,0.70661,0.67668,0.70489,0.33228,1.87587,1.23254,1.88182,0.00107288,0.00107288,0.00107288
38,5944.8,1.53055,0.98207,1.37803,0.70316,0.6942,0.71577,0.34246,1.846,1.20574,1.83907,0.00105638,0.00105638,0.00105638
39,6100.75,1.55056,1.01463,1.40715,0.70844,0.70846,0.73257,0.35602,1.79318,1.10067,1.82054,0.00103987,0.00103987,0.00103987
40,6235.43,1.5213,0.98627,1.38459,0.73548,0.64955,0.70084,0.30982,1.9709,1.18271,1.951,0.00102337,0.00102337,0.00102337
41,6378.63,1.54814,1.01889,1.39808,0.72505,0.70108,0.71105,0.33856,1.84511,1.15879,1.84722,0.00100687,0.00100687,0.00100687
42,6524.14,1.54558,1.01203,1.40135,0.74107,0.68882,0.72954,0.3591,1.7884,1.09995,1.76652,0.000990365,0.000990365,0.000990365
43,6662.67,1.52691,1.0054,1.38955,0.74201,0.7125,0.75948,0.38035,1.7782,1.05495,1.78285,0.000973861,0.000973861,0.000973861
44,6814.67,1.53966,0.97909,1.39019,0.70391,0.70388,0.7142,0.35248,1.803,1.27011,1.80643,0.000957358,0.000957358,0.000957358
45,6958.54,1.52543,0.96531,1.38736,0.74224,0.67976,0.7233,0.35137,1.82441,1.16328,1.83212,0.000940855,0.000940855,0.000940855
46,7104.65,1.55425,0.99304,1.40389,0.74594,0.67069,0.73203,0.36777,1.79198,1.08353,1.80896,0.000924352,0.000924352,0.000924352
47,7246.05,1.48559,0.95647,1.36685,0.70916,0.69184,0.70454,0.34873,1.81401,1.18737,1.82251,0.000907848,0.000907848,0.000907848
48,7390.76,1.52198,0.9651,1.37903,0.75601,0.66767,0.71956,0.35143,1.81606,1.10046,1.81268,0.000891345,0.000891345,0.000891345
49,7521.63,1.52585,0.98146,1.38591,0.76475,0.64653,0.70909,0.34558,1.82061,1.21307,1.82214,0.000874842,0.000874842,0.000874842
50,7668.33,1.50921,0.95337,1.36576,0.72959,0.67976,0.7174,0.34656,1.83007,1.11167,1.82549,0.000858338,0.000858338,0.000858338
51,7799.2,1.51743,0.98617,1.38728,0.76674,0.67031,0.72241,0.36287,1.77707,1.10963,1.79058,0.000841835,0.000841835,0.000841835
52,7927.36,1.51059,0.97073,1.38434,0.69605,0.70222,0.69932,0.35384,1.77424,1.20175,1.80414,0.000825332,0.000825332,0.000825332
53,8078.72,1.50529,0.97362,1.37485,0.73504,0.69982,0.72425,0.36806,1.73576,1.12034,1.74749,0.000808828,0.000808828,0.000808828
54,8204.62,1.49833,0.95719,1.37518,0.73625,0.68312,0.71944,0.34643,1.83806,1.10479,1.86426,0.000792325,0.000792325,0.000792325
55,8349.62,1.48774,0.94284,1.36322,0.77419,0.66809,0.73882,0.37109,1.75866,1.07269,1.77714,0.000775822,0.000775822,0.000775822
56,8493.86,1.50379,0.96377,1.3717,0.74552,0.67976,0.72107,0.35459,1.8058,1.09085,1.81477,0.000759318,0.000759318,0.000759318
57,8622.12,1.47992,0.94932,1.36564,0.73727,0.71299,0.75031,0.37631,1.7513,1.09602,1.76445,0.000742815,0.000742815,0.000742815
58,8762.49,1.48385,0.96295,1.37015,0.73835,0.67776,0.71631,0.35907,1.79274,1.19927,1.80677,0.000726312,0.000726312,0.000726312
59,8890.06,1.48308,0.93993,1.36086,0.7462,0.67508,0.7084,0.35054,1.79282,1.17084,1.81567,0.000709809,0.000709809,0.000709809
60,9034.81,1.48904,0.93691,1.35192,0.74953,0.66451,0.71496,0.35604,1.81228,1.11603,1.82641,0.000693305,0.000693305,0.000693305
61,9192.37,1.47478,0.93343,1.36114,0.72851,0.69314,0.72443,0.35989,1.80338,1.05773,1.83083,0.000676802,0.000676802,0.000676802
62,9332.93,1.47087,0.94416,1.34631,0.73943,0.65585,0.70977,0.34022,1.86069,1.22066,1.87968,0.000660299,0.000660299,0.000660299
63,9464.69,1.46327,0.92707,1.35021,0.73176,0.69789,0.73449,0.35949,1.81668,1.05961,1.82336,0.000643795,0.000643795,0.000643795
64,9611.27,1.45381,0.91082,1.34866,0.71787,0.70338,0.72142,0.36089,1.80586,1.10566,1.82893,0.000627292,0.000627292,0.000627292
65,9736.55,1.45571,0.91877,1.34528,0.74364,0.66314,0.71386,0.34273,1.85209,1.11923,1.84358,0.000610789,0.000610789,0.000610789
66,9867.39,1.46441,0.94269,1.36341,0.70988,0.67271,0.688,0.32173,1.87076,1.25502,1.88729,0.000594286,0.000594286,0.000594286
